Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
POU3F4	-3.81744289	-8.361e-05	-0.56290709	-4.2585226	-0.00978913	-0.9719343	-4.06639623	-0.00741555	-0.693146
PPEF1	-1.3983241	-0.24477203	-0.85742838	-1.98643955	-0.49190112	-1.17506007	-1.48426896	-0.40572777	-1.01986002
PPP1R3F	-5.66166609	-1.04753413	-1.67683777	-6.12788568	-1.34193249	-2.05280242	-5.81228524	-1.19017475	-1.79343703
PQBP1	-1.4441563	-5.75e-06	-0.47379268	-2.02450584	-0.06090999	-0.82192082	-1.56732685	-0.03478861	-0.63094701
PRAF2	-4.76711985	-6.13e-06	-0.6216992	-5.18831901	-0.0114783	-1.04723878	-4.90351205	-0.00606106	-0.75252822
PRDX4	-1.51855054	-3.083e-05	-0.49181051	-2.09976534	-0.04688122	-0.81261355	-1.63434599	-0.02579447	-0.60611435
PRICKLE3	-4.604501	-0.74821288	-1.52835973	-5.40722988	-1.10697554	-1.85778741	-4.76010543	-0.92746022	-1.64180587
PRKX	-3.55582467	-0.00026922	-1.01511399	-4.10049051	-0.2206438	-1.36415979	-3.73634137	-0.0895568	-1.15514208
PRPS1	-2.93858377	-1.345e-05	-0.54597078	-3.1366366	-0.00977971	-0.91235965	-2.70652138	-0.00588225	-0.71783124
PRPS2	-1.65299673	-3.437e-05	-0.44626223	-2.24993725	-0.03371062	-0.87296198	-1.75480191	-0.00455413	-0.62557641
PRRG1	-5.4139687	-0.26750072	-1.27663561	-5.91710167	-0.5846273	-1.63970596	-5.58208035	-0.40442325	-1.39856669
PRRG3	-5.90791481	-2.145676	-3.41026198	-6.41072201	-2.31653204	-4.76674034	-6.05276966	-2.24493242	-3.48338424
PTCHD1	-1.12310787	-1.789e-05	-0.35594139	-1.67396752	-0.08311531	-0.83633949	-1.25739046	-0.05738295	-0.40639612
RAB33A	-3.24323481	-2.68e-05	-0.56093639	-3.75164278	-0.00484483	-1.02079616	-3.39456179	-0.00444917	-0.69599055
RAB39B	-3.16607214	-1.588e-05	-0.53409285	-3.98937371	-0.00259968	-1.00342884	-3.35751277	-0.00145744	-0.70398473
RAB40AL	-5.70587708	-0.23922906	-1.0553258	-6.24038939	-0.41036613	-2.38867264	-5.88703775	-0.3287955	-1.21208612
