Gene	log10_ci_low	log10_ci_high	log10_map
ABCF1	-2.51171567	-1.42219507	-1.81269477
ABCF2	-1.36318167	-0.42150305	-0.94994332
ABCF3	-5.61229497	-1.53444292	-2.20155138
ABCG1	-2.53717245	-1.07618544	-1.59155723
ABCG2	-6.03482817	-2.11516555	-3.27356057
ABCG4	-6.10126103	-2.01485896	-2.81682904
ABCG5	-6.14215532	-2.21637981	-3.33033932
ABCG8	-6.05420463	-2.22358169	-3.59615603
ABHD1	-6.08233815	-2.09848896	-2.97570285
ABHD10	-6.05726339	-1.87580267	-2.71612457
ABHD11	-6.00421773	-1.47769711	-2.05194803
ABHD12	-3.72174025	-1.1472874	-1.7245299
ABHD12B	-6.2014273	-2.8912526	-4.48438481
ABHD13	-1.46918877	-0.09468848	-0.6677813
ABHD14A	-6.11696904	-1.81042284	-2.4670263
ABHD14A-ACY1	-5.86661036	-1.54671788	-2.14065591
ABHD14B	-6.19890042	-2.28832014	-4.58807658
ABHD15	-6.16559488	-2.20256475	-3.51599834
ABHD16A	-1.85380379	-1.08973032	-1.45725037
ABHD16B	-6.20971343	-2.28113684	-3.61377659
ABHD17A	-1.63591381	-0.08107248	-0.76259421
ABHD17B	-1.47070961	-0.09298896	-0.73333799
ABHD17C	-1.71658971	-0.05634018	-0.80472091
ABHD2	-1.2662377	-0.09116892	-0.61419657
ABHD3	-6.18368778	-2.21190291	-3.30228915
ABHD4	-5.673148	-1.49199331	-2.0618973
ABHD5	-4.24599594	-1.14689835	-1.74235217
ABHD6	-6.02474709	-1.65758261	-2.2869455
ABHD8	-1.25892812	-0.0875094	-0.60040491
ABI1	-1.44107148	-0.30008966	-0.89349421
ABI2	-1.87361757	-0.78596676	-1.34457003
ABI3	-5.69017422	-1.14253438	-1.78000707
ABI3BP	-4.84633448	-1.42320048	-2.0964125
ABL1	-0.95870793	-0.06274853	-0.48163198
ABL2	-6.00579093	-2.03750801	-3.03056196
ABLIM1	-1.46129065	-0.60529134	-1.05624763
ABLIM2	-1.77028276	-1.04917224	-1.40935309
ABLIM3	-2.2320529	-1.42393406	-1.71940251
ABR	-1.79951496	-1.01630913	-1.40213051
ABRA	-4.51883787	-0.68811073	-1.5083768
ABRACL	-5.36449157	-0.00769538	-0.93399522
ABT1	-5.54224094	-0.36566883	-1.35590636
ABTB1	-6.11671531	-2.6818642	-3.76453556
ABTB2	-1.71421383	-0.9245046	-1.32833719
AC002310.13	-6.24542471	-2.30061189	-4.43780162
AC002553.1	-6.09752397	-0.25644025	-1.18312943
AC003002.4	-5.84923783	-0.12279395	-1.04289153
AC003002.6	-5.61134931	-0.03551274	-0.9905247
AC003006.7	-5.88611871	-0.1345719	-1.09811273
AC003043.1	-6.22331474	-0.40594713	-1.68630945
AC003101.1	-5.04032951	-0.01064652	-0.92916353
AC004076.7	-6.19232479	-0.33868517	-1.22525583
AC004381.6	-5.97940107	-1.83743314	-2.51663371
AC005003.1	-6.14708005	-0.30484744	-1.19198426
AC005082.1	-6.18498593	-0.32211088	-1.19113829
AC005358.1	-1.10839295	-0.07509989	-0.54773376
AC005481.5	-6.16459802	-0.30365754	-1.23642869
AC005493.1	-6.20696301	-0.35642539	-1.44142139
AC005544.1	-6.18781142	-0.31478779	-1.24733395
AC005549.3	-6.25578484	-0.41744625	-1.5713125
AC005609.1	-6.15572508	-1.268412	-2.18442594
AC005841.1	-4.41848485	-0.00156892	-0.84656815
AC006435.1	-6.22720928	-2.4107813	-4.09018733
AC006486.1	-6.16300875	-0.29237442	-1.18218767
AC006486.9	-1.87278836	-0.0351657	-0.79387625
AC006538.4	-6.11588947	-0.27024203	-1.20926571
AC006547.14	-1.43010359	-0.09793766	-0.6819794
AC006946.15	-3.95557097	-0.00718707	-0.8874361
AC007040.11	-6.18319606	-2.23265383	-3.42115157
AC007204.1	-6.21308108	-1.89964512	-3.27630435
AC007401.2	-5.78954651	-0.08661725	-1.02945705
AC007956.1	-6.19199049	-1.43489154	-2.4773167
AC008372.1	-6.2447226	-0.41937582	-4.03194493
AC008686.1	-5.96734103	-0.17625358	-1.11700325
AC009041.2	-6.23058637	-0.39163112	-4.56190102
AC009065.1	-6.22100527	-2.49900422	-4.37048149
AC009802.1	-6.225169	-0.37602912	-1.69025566
AC009892.10	-6.20190653	-0.37407371	-1.38816446
AC010336.1	-6.22959345	-2.40238363	-3.66085886
AC010441.1	-6.08307118	-0.83877553	-1.9375254
AC011308.1	-6.19871315	-0.34797537	-1.38600949
AC011475.1	-6.22004095	-0.38511805	-1.4590393
AC011500.1	-5.73660051	-0.08011596	-1.00845892
AC011530.4	-6.2227344	-2.37163243	-4.62823509
AC011897.1	-5.29991298	-0.01209351	-0.92034716
AC011997.1	-6.13505072	-1.79683562	-3.98546043
AC012123.1	-5.55609162	-0.02489115	-0.95737149
AC012313.1	-6.05711699	-0.22399162	-1.19827104
AC013468.1	-6.20928916	-0.37046476	-1.61868044
